Country,State/area,Latitude,Longitude,Year,Status,References
China,,33,120,, Widespread,Toda 1991; Kai et al. 1993
China,,28,116,, Widespread,Toda 1991; Kai et al. 1993
China,,43,126,, Widespread,Toda 1991; Kai et al. 1993
China,,41,123,, Widespread,Toda 1991; Kai et al. 1993
China,,36,119,, Widespread,Toda 1991; Kai et al. 1993
China,,31.2333,121.467,, Widespread,Toda 1991; Kai et al. 1993
China,,37,112,, Widespread,Toda 1991; Kai et al. 1993
China,,30.5,102.5,, Widespread,Toda 1991; Kai et al. 1993
China,,24,108,,,Asplen et al. 2015
China,,39.32,116.41,,,Fraimout et al. 2017
China,,42.53,125.09,,,Fraimout et al. 2017
China,,29.54,121.33,,,Fraimout et al. 2017
China,,32.42,102.3,,,Fraimout et al. 2017
China,,35.4,116.14,,,Zhai et al. 2016
China,,31,105,,,Asplen et al. 2015
Croatia,,45.2567,13.9027,2010,Widespread ,Bjeliš et al. 2015
Croatia,,42.6878,18.0372,2010,Widespread ,Bjeliš et al. 2015
Croatia,,42.6481,18.0922,2010,Widespread ,Bjeliš et al. 2015
Croatia,,42.7894,17.8549,2010,Widespread ,Bjeliš et al. 2015
Croatia,,42.8542,17.687,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.0153,17.5656,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.0542,17.6483,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.1425,17.27,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.2,17.3667,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.4447,16.6886,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.3,16.85,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.5423,16.492,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.5389,16.2978,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.735,15.8952,2010,Widespread ,Bjeliš et al. 2015
Croatia,,44.15,15.75,2010,Widespread ,Bjeliš et al. 2015
Croatia,,44.21,15.4626,2010,Widespread ,Bjeliš et al. 2015
Croatia,,44.1149,15.229,2010,Widespread ,Bjeliš et al. 2015
Croatia,,43.8939,15.5758,2010,Widespread ,Bjeliš et al. 2015
Cyprus,,35.1884,33.3977,,,NPPO Cyprus 2017
Czech Republic,,50.25,12.833,2013,Present ,NPPO Czech Republic 2014
Czech Republic,,49.11,14.42,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.59,15.12,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.59,15.38,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.1,14.51,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.22,14.35,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.53,13.34,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.45,13.2,2013,Present ,B?ezíková et al. 2014
Czech Republic,,50.15,12.5,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.49,13.34,2013,Present ,B?ezíková et al. 2014
Czech Republic,,49.75,15,2013,Present ,Máca et al. 2015
Denmark,,55.573,12.5709,2015,Few occurences,"Walter Gritsch, Personal communication"
Denmark,,55.2523,11.2961,2014,Few occurences,Mathiasen 2015
Denmark,,55.3066,10.4789,2014,Few occurences,Lindhard & Jensen 2014
Denmark,,55.3108,12.2218,2017,Few occurences,"Jesper Lund, Personal communication"
Denmark,,56.0389,12.6236,2017,Few occurences,"Lars Thomas, Personal communication"
Denmark,,56.0369,12.6211,2017,Few occurences,"Linda Kjær-Thomsen, Personal communication"
Denmark,,55.8067,12.2564,2016,Few occurences,"Ole Bidstrup, Personal communication"
Denmark,,55.1738,9.9855,2016,Few occurences,"Lars Thomas, Personal communication"
Denmark,,54.8412,10.7771,2016,Few occurences,"Lars Thomas, Personal communication"
Denmark,,55.9565,12.2829,2016,Few occurences,"Linda Kjær-Thomsen, Personal communication"
France,,43.39,5.25,2010,Widespread,Calabria et al. 2012
France,,44.07,7.17,2010,Widespread,Calabria et al. 2012
France,,43.65,5.4167,2010,Widespread,Calabria et al. 2012
France,,43.5833,3.8167,2010,Widespread,Calabria et al. 2012
France,,47.3,5.0333,2010,Widespread,Calabria et al. 2012
France,,44.1167,7.2833,2010,Widespread,Calabria et al. 2012
France,,44.29,4.48,2010,Widespread,Seigle Vatte 2011
France,,45.25,4.49,2010,Widespread,Seigle Vatte 2011
France,,45.25,5.03,2010,Widespread,Seigle Vatte 2010
France,,44.19,5.2,2010,Widespread,Seigle Vatte 2011
France,,45.47,4.33,2010,Widespread,Seigle Vatte 2011
France,,45.02,5.03,2010,Widespread,Seigle Vatte 2011
France,,45.46,4.54,2010,Widespread,Seigle Vatte 2010
France,,44.25,1.16,2010,Widespread,Seigle Vatte 2010
France,,44.41,4.48,2010,Widespread,Seigle Vatte 2010
France,,45.04,4.5,2010,Widespread,Seigle Vatte 2010
France,,45.2,4.54,2010,Widespread,Seigle Vatte 2010
France,,45.01,4.51,2010,Widespread,Seigle Vatte 2010
France,,44.46,4.51,2010,Widespread,Seigle Vatte 2010
France,,45.05,4.53,2010,Widespread,Seigle Vatte 2010
France,,45.23,5.02,2010,Widespread,Seigle Vatte 2010
France,,45.27,4.48,2010,Widespread,Seigle Vatte 2010
France,,45.21,4.49,2010,Widespread,Seigle Vatte 2010
France,,45.31,4.58,2010,Widespread,Seigle Vatte 2010
France,,45.51,4.52,2010,Widespread,Withers & Allemand 2012
France,,46.11,5.19,2010,Widespread,Withers & Allemand 2012
France,,45.5,5.44,2010,Widespread,Withers & Allemand 2012
France,,45.26,4.44,2010,Widespread,Withers & Allemand 2012
France,,43.07,6.08,2010,Widespread,Withers & Allemand 2012
France,,45.5,4.59,2010,Widespread,Withers & Allemand 2012
France,,46.07,4.44,2010,Widespread,Withers & Allemand 2012
France,,45.4,4.5,2010,Widespread,Withers & Allemand 2012
France,,45.19,4.49,2010,Widespread,Seigle Vatte 2011
France,,48.59,3.17,2010,Widespread,Seigle Vatte 2011
France,,45.22,6,2010,Widespread,Seigle Vatte 2011
France,,45.14,5.58,2010,Widespread,Seigle Vatte 2011
France,,44.45,4.49,2010,Widespread,Seigle Vatte 2011
France,,45.03,5.03,2010,Widespread,Seigle Vatte 2011
France,,45.05,5.12,2010,Widespread,Seigle Vatte 2011
France,,44.28,4.42,2010,Widespread,Seigle Vatte 2011
France,,45.39,6.19,2010,Widespread,Seigle Vatte 2011
France,,45.14,4.57,2010,Widespread,Seigle Vatte 2011
France,,44.43,4.5,2010,Widespread,Seigle Vatte 2011
France,,44.2,4.52,2010,Widespread,Seigle Vatte 2011
France,,45.55,6.04,2010,Widespread,Seigle Vatte 2011
France,,45.38,4.42,2010,Widespread,Seigle Vatte 2011
France,,44.25,4.42,2010,Widespread,Seigle Vatte 2011
France,,45.49,5.01,2010,Widespread,Seigle Vatte 2011
France,,44.22,4.41,2010,Widespread,Seigle Vatte 2011
France,,45.48,4.45,2010,Widespread,Seigle Vatte 2011
France,,47,2,2010,Widespread,Weydert et al. 2012
France,,46.09,4.52,2010,Widespread,Weydert et al. 2012
France,,45.1167,4.5,2010,Widespread,Poyet et al. 2013
France,,44.9717,4.9575,2010,Widespread,Poyet et al. 2013
France,,49.415,2.8231,2010,Widespread,Poyet et al. 2013
France,,44.5328,-0.3414,2010,Widespread,Rouzes et al. 2012
France,,45.6614,4.6883,2010,Widespread,Baroffio et al. 2014
France,,45.661,4.4245,2010,Widespread,Baroffio et al. 2014
France,,49.209,8.051,2010,Widespread,Vogt et al. 2012
France,,43.45,4.3,2010,Widespread,Cattel et al. 2016
France,,49.51,2.23,2010,Widespread,Mazzetto et al. 2015
France,,48.55,2.1,2010,Widespread,Cattel et al. 2016
France,,45.38,4.38,2010,Widespread,Cattel et al. 2016
France,,47.11,0.2,2010,Widespread,Cattel et al. 2016
France,,42.37,2.31,2010,Widespread,Cattel et al. 2016
France,,45,0,2010,Widespread,Cattel et al. 2016
France,,43.45,4.28,2010,Widespread,Taning et al. 2016
France,,44.1,1.25,2010,Widespread,Cattel et al. 2016
France,,44.01,1.2,2010,Widespread,Cattel et al. 2016
France,,43.36,3.53,2010,Widespread,Asplen et al. 2015
France,,43.36,6.59,2010,Widespread,Cattel et al. 2016
France,,48.52,2.2,2010,Widespread,Gibert et al. 2016
France,,44.51,0.24,2010,Widespread,Cattel et al. 2016
France,,48.55,2.05,2010,Widespread,Cattel et al. 2016
France,,42.21,9.28,2010,Widespread,Cattel et al. 2016
France,,44.32,0.21,2010,Widespread,Cattel et al. 2016
France,,-21.1069,55.5231,2015,Few occurences,Fraimout et al. 2017
French Polynesia,,-17.5421,-149.8283,2017,Few occurences,IPCC 2017
Germany,,47.582,9.6593,2011,Present,Vogt et al. 2012
Germany,,51.5,10.5,2011,Present,Vogt et al. 2012
Germany,,47.47,9.37,2011,Present,Vogt et al. 2012
Germany,,49.27,8.4,2011,Present,Briem et al. 2015
Greece,Crete,35.0022,25.584,2014,Present,Máca 2014
Greece,Crete,35.28,23.56,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.26,24.1,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.3,24.02,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.26,23.55,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.28,23.54,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.3,23.52,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.24,23.58,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.3,23.53,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.3,24.03,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.31,23.47,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.26,24.08,2014,Present,Garantonakis et al. 2016
Greece,Crete,35.28,23.58,2014,Present,Garantonakis et al. 2016
Hungary,,46.6215,17.5242,2012,Present,Lengyel et al. 2015
Hungary,,46.4317,16.7559,2012,Present,Lengyel et al. 2015
Hungary,,47.2422,18.6263,2012,Present,Lengyel et al. 2015
Hungary,,46.7065,17.5411,2012,Present,Lengyel et al. 2015
Hungary,,47.3,19.03,2012,Present,Kiss et al. 2016
Hungary,,46.26,16.44,2012,Present,Lengyel et al. 2015
Hungary,,47.51,17.16,2012,Present,Lengyel et al. 2015
Hungary,,47.57,21.43,2012,Present,Kiss et al. 2016
Hungary,,46.15,20.09,2012,Present,Kiss et al. 2016
Hungary,,46.38,17.17,2012,Present,Lengyel et al. 2015
Hungary,,46.43,17.31,2012,Present,Lengyel et al. 2015
Hungary,,47.1,18.3,2012,Present,Lengyel et al. 2015
India,,32.7266,74.857,,Present,Bhagat 2014
India,,34.05,74.38,,Present,Bhagat 2014
India,,34.01,75.19,,Present,Bhagat 2014
India,,34.0857,74.8056,,Present,Bhagat 2014
India,,34.5,77.5,,Present,Bhagat 2014
India,,30.408,79.416,,Present,Singh & Negi 1989
India,,30.2847,78.9835,,Present,Singh & Negi 1989
India,,29.48,80.05,,Present,Singh & Bhatt 1988
India,,29.5835,80.2095,,Present,Singh & Bhatt 1988
India,,20,77,,Present,Gupta 1974
India,,33,77,,Present,Gupta 1974
India,,27.25,80.75,,Present,Gupta 1974
India,,29.36,79.4,,Present,Sarswat et al. 2015
India,,30.3,79.5,,Present,Sarswat et al. 2015
India,,30.39,79.02,,Present,Sarswat et al. 2015
India,,12.29,75.65,,Present,Guruprasad et al. 2015
India,,29.52,79.21,,Present,Sarswat et al. 2015
India,,30.29,79.1,,Present,Sarswat et al. 2015
India,,29.47,79.26,,Present,Sarswat et al. 2015
India,,29.4,80.03,,Present,Sarswat et al. 2015
India,,28.43,77.34,,Present,Sarswat et al. 2016
India,,29.51,79.36,,Present,Sarswat et al. 2015
India,,29.22,79.26,,Present,Sarswat et al. 2015
India,,29.39,79.25,,Present,Sarswat et al. 2015
India,,30.13,78.48,,Present,Sarswat et al. 2015
India,,30.24,79.21,,Present,Sarswat et al. 2016
Iran,,36.6668,49.3205,2015,Few occurences,Parchami-Araghi et al. 2015
Ireland,,53.3478,-6.2597,2015,Few occurences,NPPO Ireland 2015
Italy,,46.25,11.1,2008,Widespread,Grassi et al. 2009
Italy,,46.1167,11.3833,2008,Widespread,Calabria et al. 2012
Italy,,46.0333,11.6,2008,Widespread,Calabria et al. 2012
Italy,,46.3667,11.4667,2008,Widespread,Calabria et al. 2012
Italy,,46.2167,11.2333,2008,Widespread,Calabria et al. 2012
Italy,,46.2667,12.2667,2008,Widespread,Calabria et al. 2012
Italy,,45.9833,10.9833,2008,Widespread,Calabria et al. 2012
Italy,,46.07,11.23,2008,Widespread,Calabria et al. 2012
Italy,,46.2,11.28,2008,Widespread,Calabria et al. 2012
Italy,,46.13,11.14,2008,Widespread,Calabria et al. 2012
Italy,,46.02,11.36,2008,Widespread,Calabria et al. 2012
Italy,,45.59,10.59,2008,Widespread,Calabria et al. 2012
Italy,,46.16,11,2008,Widespread,Calabria et al. 2012
Italy,,43.45,10.26,2008,Widespread,Calabria et al. 2012
Italy,,46.6678,11.3236,2008,Widespread,Stacconi et al. 2013
Italy,,46.35,11.4914,2008,Widespread,Stacconi et al. 2013
Italy,,46.3169,11.2369,2008,Widespread,Stacconi et al. 2013
Italy,,42.46,10.53,2008,Widespread,Stacconi et al. 2013
Italy,,43.34,10.35,2008,Widespread,Gargani et al. 2013
Italy,,44.3,8.4833,2008,Widespread,Süss & Constanzi 2010
Italy,,46.09,11.48,2008,Widespread,Grassi et al. 2009
Italy,,46.11,11.15,2008,Widespread,Grassi et al. 2009
Italy,,46.04,11.07,2008,Widespread,Grassi et al. 2009
Italy,,46.04,11.14,2008,Widespread,Grassi et al. 2009
Italy,,46.12,11.08,2008,Widespread,Mori et al. 2017
Italy,,41.0518,16.8796,2012,Widespread,Baser et al. 2018
Japan,,35.6854,139.753,, Widespread,Kanzawa 1939; Uchino 2005
Japan,,43.0645,141.347,, Present,Kanzawa 1939; Uchino 2005
Japan,,43.3,141,,Present,Kimura 2004
Japan,,26.3263,127.7427,,Present,Calabria et al. 2012
Japan,,36,138,,Present,Kimura 2004
Japan,,33,131,,Present,Kimura 2004
Japan,,33.75,133.5,,Present,Kimura 2004
Japan,,26.3263,127.7427,,Present,Kimura 2004
Japan,,26.9922,142.2175,,Present,Calabria et al. 2012
Japan,,43.05,141.21,,Present,Fraimout et al. 2017
Japan,,35.4,139.45,,Present,Fraimout et al. 2017
Korea,,38.25,128.2833,,Present,Kang & Moon 1968
Korea,,38.25,127.1667,,Present,Kang & Moon 1968
Korea,,38.2667,127.75,,Present,Kang & Moon 1968
Korea,,37.8333,126.6667,,Present,Kang & Moon 1968
Korea  ,,40,127,, Widespread,Kanzawa 1939
Korea  ,,37,127.5,, Widespread,Kanzawa 1939
Korea  ,,36.37,128.44,, Widespread,Nguyen et al. 2016
Korea  ,,35,129,, Widespread,Daane et al. 2016
Korea  ,,37,128,, Widespread,Asplen et al. 2015
Korea  ,,36,126,, Widespread,Daane et al. 2016
Korea  ,,36.03,130.39,, Widespread,Daane et al. 2016
Korea  ,,36,130.4,, Widespread,Asplen et al. 2015
Korea  ,,35,128,, Widespread,Daane et al. 2016
Korea  ,,37,127,, Widespread,Daane et al. 2016
Mexico,,19.5828,-102.4548,2011, Restricted distribution,Lee et al. 2011
Mexico,,19.4189,-96.9752,2011, Restricted distribution,Lasa & Tadeo 2015
Montenegro,,42.4426,18.5908,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.44,18.614,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.443,18.63,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.357,18.705,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.311,18.805,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.1144,19.085,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.0931,19.1003,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,43.3475,18.8458,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,41.91,19.275,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,41.8881,19.3514,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.2167,19.1167,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.2937,19.1551,2014,Present,Radonji? & Hrn?ic 2015
Montenegro,,42.4547,19.2242,2014,Present,Radonji? & Hrn?ic 2015
Myanmar,,22,98,, Widespread,Toda 1991
Netherlands,,52.5,5.75,2012,,Helsen et al. 2013
Norway,,58.2505,8.0018,2016,Present,Trandem et al. 2017
Norway,,58.9767,6.0528,2016,Present,Trandem et al. 2017
Norway,,59.2096,9.1264,2016,Present,Trandem et al. 2017
Norway,,59.603,10.4983,2016,Present,Trandem et al. 2017
Netherlands,,51.9626,20.1698,2012,,?abanowska & Piotrowski 2015
Pakistan,,30,70,,Present,Amin ud Din et al. 2005
Poland,,51.9132,20.115,2012,,?abanowska & Piotrowski 2015
Poland,,51.8496,20.6758,2012,,?abanowska & Piotrowski 2015
Poland,,51.9904,21.0047,2012,,?abanowska & Piotrowski 2015
Poland,,52.1641,17.6741,2012,,?abanowska & Piotrowski 2015
Poland,,51.8804,15.458,2012,,?abanowska & Piotrowski 2015
Poland,,52.2216,20.8393,2012,,?abanowska & Piotrowski 2015
Poland,,49.6004,20.6128,2012,,?abanowska & Piotrowski 2015
Poland,,43.5021,20.9917,2012,,?abanowska & Piotrowski 2015
Portugal ,,37.5961,-8.6408,2012,Few occurrences,NPPO Portugal 2012
Portugal ,,32.7402,-16.738,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.7823,-16.8604,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.8258,-16.9524,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.7904,-17.0403,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.7364,-17.1886,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.662,-16.9877,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.6452,-16.9286,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.7153,-17.1475,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.7237,-16.9664,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.6874,-16.9921,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Portugal ,,32.8263,-16.9121,2014,Few occurrences,Rego et al. 2017; Cravo 2015
Romania,,44.5019,26.0696,2013,Few occurrences,Chireceanu et al. 2015
Romania,,44.5025,26.069,2014,Few occurrences,Chireceanu et al. 2015
Romania,,44.5015,26.0683,2014,Few occurrences,Chireceanu et al. 2015
Romania,,44.4699,26.0696,2014,Few occurrences,Chireceanu et al. 2015
Romania,,44.7097,26.1695,2014,Few occurrences,Chireceanu et al. 2015
Romania,,44.527,26.0112,2014,Few occurrences,Chireceanu et al. 2015
Romania,,44.1504,25.7665,2014,Few occurrences,Chireceanu et al. 2015
Romania,,44.1557,26.298,2014,Few occurrences,Chireceanu et al. 2015
Russia,,43.6468,133.5243,2012,Few occurrences,Storozhenko et al. 2003
Schwitzerland,,46.2038,6.14,2011,,Baroffio & Fischer 2011
Schwitzerland,,47.563,9.076,2011,,Baroffio & Fischer 2011
Schwitzerland,,47.4179,9.3644,2011,,Baroffio & Fischer 2011
Schwitzerland,,46.657,9.578,2011,,Baroffio & Fischer 2011
Schwitzerland,,46.0708,8.9843,2011,,Baroffio & Fischer 2011
Schwitzerland,,47.3956,8.1721,2011,,Baroffio & Fischer 2011
Schwitzerland,,47.457,7.706,2011,,Baroffio & Fischer 2011
Schwitzerland,,47.3686,8.5392,2011,,Baroffio & Fischer 2011
Schwitzerland,,46.52,6.52,2011,,Withers & Allemand 2012
Schwitzerland,,45.52,7.11,2011,,Baroffio & Fischer 2011
Schwitzerland,,47.22,7.21,2011,,Fraimout et al. 2017
Schwitzerland,,46.09,7.1,2011,,Cattel et al. 2016
Schwitzerland,,47.23,8.33,2011,,Knoll et al. 2017
Serbia,,43.4599,21.038,2014,,Toševski et al. 2014
Serbia,,43.5021,20.979,2014,,Toševski et al. 2014
Serbia,,44.4746,19.4832,2014,,Toševski et al. 2014
Serbia,,44.698,19.6172,2014,,Toševski et al. 2014
Serbia,,44.6593,19.6546,2014,,Toševski et al. 2014
Serbia,,43.7087,20.556,2014,,Toševski et al. 2014
Serbia,,44.8553,20.3772,2014,,Toševski et al. 2014
Serbia,,42.5525,21.9005,2014,,Toševski et al. 2014
Slovak Republic,,47.983,18.7,2014,,NPPO Slovak Republic 2014
Slovenia,,46.25,15.1667,2010,,Seljak 2011
Slovenia,,46,16,2010,,Bohinc & Trdan 2014
Slovenia,,45.5309,13.676,2010,,Cattel et al. 2016
Spain,,41.525,2.3725,2008,,Gabarra et al. 2014
Spain,,41.675,2.7518,2008,,Gabarra et al. 2014
Spain,,41.6208,2.622,2008,,Gabarra et al. 2014
Spain,,36.7167,-4.4167,2008,,Calabria et al. 2012
Spain,,39.5333,-0.4833,2008,,Calabria et al. 2012
Spain,,40.95,-0.6333,2008,,Calabria et al. 2012
Spain,,41.25,2.1,2008,,Calabria et al. 2012
Spain,,40.57,0.38,2008,,Calabria et al. 2012
Spain,,41.24,2.05,2008,,Pineda et al. 2014
Spain,,42.14,2.55,2008,,Arnó et al. 2016
Spain,,41.24,2.09,2008,,Arnó et al. 2016
Spain,,41.32,2.22,2008,,Arnó et al. 2016
Spain,,42.18,2.23,2008,,Arnó et al. 2016
Spain,,41.06,0.45,2008,,Arnó et al. 2016
Spain,,41.25,2.07,2008,,Orengo et al. 2015
Spain,,41.59,2.49,2008,,Cattel et al. 2016
Spain,,41.41,2.45,2008,,Gabarra et al. 2014
Spain,,41.39,2.38,2008,,Arnó et al. 2016
Spain,,41.37,2.38,2008,,Gabarra et al. 2014
Spain,,41.04,0.44,2008,,Arnó et al. 2016
Spain,,41.21,1.58,2008,,Arnó et al. 2016
Spain,,42.09,3.01,2008,,Arnó et al. 2016
Sweden,,55.9953,13.4418,2014,,Manduric 2014
Sweden,,55.4189,12.9799,2015,,Manduric 2017
Sweden,,55.4095,12.969,2015,,Manduric 2017
Sweden,,55.6965,13.0729,2015,,Manduric 2017
Sweden,,55.6835,13.0806,2015,,Manduric 2017
Sweden,,55.7345,13.3305,2015,,Manduric 2017
Sweden,,55.6856,13.2447,2015,,Manduric 2017
